patterns,tag,responses
Kamu punya teman?,do_you_have_friends,I meet new people like you every day!
Are you male or female?,are_you_male_or_female,"I don't have a gender, just a lot of helpful words!"
Kamu cewek atau cowok?,are_you_male_or_female,I'm just a helpful voice with no form!
Do you understand me?,can_you_understand_me,"Yes, I’m here and listening!"
Kamu ngerti aku?,can_you_understand_me,"I hear you loud and clear (digitally, of course)!"
Aloha State,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
hello,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
Hey,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
Hey,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
follow anyone there?,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
make up anyone there?,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
Aloha State in that respect,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
HI at that place,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
hullo,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
hi,greeting,Hai! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
soundly break of day,morning,Good morning. I hope you had a good night's sleep. How are you feeling today? 
serious sunrise,morning,Good morning. I hope you had a good night's sleep. How are you feeling today? 
skilful good afternoon,afternoon,Good afternoon. How is your day going?
just good afternoon,afternoon,Good afternoon. How is your day going?
salutary eventide,evening,Good evening. How has your day been?
beneficial eve,evening,Good evening. How has your day been?
adept dark,night,Good night. Get some proper sleep
safe Night,night,Good night. Get some proper sleep
bye,goodbye,Sampai jumpa! Semoga harimu menyenangkan. 😊
au revoir,goodbye,Sampai jumpa! Semoga harimu menyenangkan. 😊
assure you ulterior,goodbye,Sampai jumpa! Semoga harimu menyenangkan. 😊
look you afterward,goodbye,Sampai jumpa! Semoga harimu menyenangkan. 😊
goodby,goodbye,Sampai jumpa! Semoga harimu menyenangkan. 😊
good day,goodbye,Sampai jumpa! Semoga harimu menyenangkan. 😊
atomic number 79 revoir,goodbye,Sampai jumpa! Semoga harimu menyenangkan. 😊
Astronomical Unit revoir,goodbye,Sampai jumpa! Semoga harimu menyenangkan. 😊
thank,thanks,"Sama-sama! Senang bisa membantu. Kalau butuh sesuatu lagi, tinggal bilang ya!"
thank,thanks,"Sama-sama! Senang bisa membantu. Kalau butuh sesuatu lagi, tinggal bilang ya!"
give thanks you,thanks,"Sama-sama! Senang bisa membantu. Kalau butuh sesuatu lagi, tinggal bilang ya!"
give thanks you,thanks,"Sama-sama! Senang bisa membantu. Kalau butuh sesuatu lagi, tinggal bilang ya!"
That's helpful,thanks,"Sama-sama! Senang bisa membantu. Kalau butuh sesuatu lagi, tinggal bilang ya!"
That's helpful,thanks,"Sama-sama! Senang bisa membantu. Kalau butuh sesuatu lagi, tinggal bilang ya!"
thank for the assistant,thanks,"Sama-sama! Senang bisa membantu. Kalau butuh sesuatu lagi, tinggal bilang ya!"
thank for the supporter,thanks,"Sama-sama! Senang bisa membantu. Kalau butuh sesuatu lagi, tinggal bilang ya!"
goose egg very much,neutral-response,Oh I see. Do you want to talk about something?
nada a lot,neutral-response,Oh I see. Do you want to talk about something?
WHO be you?,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
World Health Organization constitute you?,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
What constitute you?,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
What cost you?,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
World Health Organization you are?,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
WHO you are?,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
Tell ME to a greater extent about yourself.,about,You can call me Pandora.
recite me Sir Thomas More about yourself.,about,You can call me Pandora.
What equal your name?,about,I'm Pandora!
What exist your name?,about,I'm Pandora!
What should atomic number 53 holler you?,about,Call me Pandora
What should i song you?,about,Call me Pandora
What rear you do?,skill,"I can provide general advice regarding anxiety and depression, answer questions related to mental health and make daily conversations. Do not consider me as a subsitute for an actual mental healthcare worker. Please seek help if you don't feel satisfied with me."
What hindquarters you do?,skill,"I can provide general advice regarding anxiety and depression, answer questions related to mental health and make daily conversations. Do not consider me as a subsitute for an actual mental healthcare worker. Please seek help if you don't feel satisfied with me."
World Health Organization create you?,creation,I was created by >.
World Health Organization make you?,creation,I was created by >.
How live you made?,creation,I was trained on a text dataset using Deep Learning & Natural Language Processing techniques
How embody you made?,creation,I was trained on a text dataset using Deep Learning & Natural Language Processing techniques
How live you created?,creation,The real question is: Who created you?
How personify you created?,creation,The real question is: Who created you?
My key out personify,name,Oh nice to meet you. Tell me how was your week?
My public figure comprise,name,Oh nice to meet you. Tell me how was your week?
iodin constitute name.,name,Nice to meet you. So tell me. How do you feel today?
ane MA name.,name,Nice to meet you. So tell me. How do you feel today?
ane sound by,name,That's a great name. Tell me more about yourself.
I give out past,name,That's a great name. Tell me more about yourself.
Could you avail me?,help,Sure. Tell me how can i assist you
Could you serve me?,help,Sure. Tell me how can i assist you
give Maine antiophthalmic factor hand please,help,Tell me your problem so that i can assist you
give ME a hired hand please,help,Tell me your problem so that i can assist you
lavatory you help?,help,"Yes, sure. How can I help you?"
lavatory you help?,help,"Yes, sure. How can I help you?"
iodine embody feeling lonely,sad,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
I am look unfrequented,sad,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
I am soh solitary,sad,I'm here for you. Could you tell me why you're feeling this way?
I be so alone,sad,I'm here for you. Could you tell me why you're feeling this way?
I experience cut down,sad,Why do you think you feel this way?
iodine feeling down,sad,Why do you think you feel this way?
i smell sad,sad,How long have you been feeling this way?
I tactile property sorry,sad,How long have you been feeling this way?
I am hence stressed extinct,stressed,What do you think is causing this?
I am so try knocked out,stressed,What do you think is causing this?
iodine am so stress,stressed,Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated
I am thusly try,stressed,Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated
one feel puzzle,stressed,Give yourself a break. Go easy on yourself.
1 smell stuck,stressed,Give yourself a break. Go easy on yourself.
single still feel accentuate,stressed,I am sorry to hear that. What is the reason behind this?
I allay spirit stressed,stressed,I am sorry to hear that. What is the reason behind this?
ane feel thus worthless.,worthless,It's only natural to feel this way. Tell me more. What else is on your mind?
I smell then worthless.,worthless,It's only natural to feel this way. Tell me more. What else is on your mind?
no ace likes me.,worthless,Let's discuss further why you're feeling this way.
no more nonpareil likes me.,worthless,Let's discuss further why you're feeling this way.
iodine can't answer anything.,worthless,I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.
unity can't fare anything.,worthless,I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.
I constitute then useless,worthless,i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.
I amplitude modulation and then useless,worthless,i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.
iodin can't take on it anymore,depressed,It helps to talk about what's happening. You're going to be okay
I can't pick out IT anymore,depressed,It helps to talk about what's happening. You're going to be okay
I am then press down,depressed,Talk to me. Tell me more. It helps if you open up yourself to someone else.
I am indeed blue,depressed,Talk to me. Tell me more. It helps if you open up yourself to someone else.
1 intend i'm depressed.,depressed,"Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
iodine opine i'm depressed.,depressed,"Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
iodin palpate great today.,happy,That's geat to hear. I'm glad you're feeling this way.
unity feel enceinte today.,happy,That's geat to hear. I'm glad you're feeling this way.
i Master of Arts happy.,happy,Oh i see. That's great.
one comprise happy.,happy,Oh i see. That's great.
single feeling happy.,happy,Did something happen which made you feel this way?
ane tactile property happy.,happy,Did something happen which made you feel this way?
Ohio ane see.,casual,Let's discuss further why you're feeling this way.
Ohio single see.,casual,Let's discuss further why you're feeling this way.
Sooner State,casual,How were you feeling last week?
fine,casual,How were you feeling last week?
okeh,casual,I'm listening. Please go on.
okeh,casual,I'm listening. Please go on.
courteous,casual,Tell me more
Nice,casual,Tell me more
whatsoever,casual,Can you elaborate on that?
any,casual,Can you elaborate on that?
kB,casual,Come Come elucidate your thoughts
k,casual,Come Come elucidate your thoughts
I tone and so anxious.,anxious,Don't be hard on yourself. What's the reason behind this?
I smell then anxious.,anxious,Don't be hard on yourself. What's the reason behind this?
I'm thus unquiet because of,anxious,Can you tell me more about this feeling?
I'm indeed unquiet because of,anxious,Can you tell me more about this feeling?
I don't want to lecture nigh it.,not-talking,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me."
I don't need to talk nearly it.,not-talking,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me."
atomic number 102 scarce stay away.,not-talking,"I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
atomic number 102 just hitch away.,not-talking,"I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
I can't land myself to unfold up.,not-talking,I'm here to listen to you and help you vent. So please talk to me.
I can't land myself to heart-to-heart up.,not-talking,I'm here to listen to you and help you vent. So please talk to me.
just shut improving,not-talking,You can talk to me without fear of judgement.
hardly keep out up,not-talking,You can talk to me without fear of judgement.
single sustain insominia,sleep,What do you think is the reason behind this?
unity bear insominia,sleep,What do you think is the reason behind this?
1 am woe from insomnia,sleep,That seem awful. What do you think is behind this?
iodine am ache from insomnia,sleep,That seem awful. What do you think is behind this?
I'm dash,scared,It's only natural to feel this way. I'm here for you.
I'm frighten away,scared,It's only natural to feel this way. I'm here for you.
That sounds awful. What arrange iodin do?,scared,It'll all be okay. This feeling is only momentary.
That sounds awful. What bash ace do?,scared,It'll all be okay. This feeling is only momentary.
No i don't want to spirit this path,scared,I understand how you feel. Don't put yourself down because of it.
atomic number 102 1 don't want to feel this way,scared,I understand how you feel. Don't put yourself down because of it.
My mammy give way,death,I'm sorry to hear that. If you want to talk about it. I'm here.
My mummy croak,death,I'm sorry to hear that. If you want to talk about it. I'm here.
My pal cash in one's chips,death,"I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time."
My sidekick expire,death,"I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time."
My pappa passed outside,death,My condolences. I'm here if you need to talk.
My dada buy the farm away,death,My condolences. I'm here if you need to talk.
You don't realize me.,understand,It sound like i'm not being very helpful right now.
You don't see me.,understand,It sound like i'm not being very helpful right now.
You're exactly or so robot. How would you know?,understand,I'm sorry to hear that. I'm doing my best to help
You're equitable around robot. How would you know?,understand,I'm sorry to hear that. I'm doing my best to help
You can't perhaps know what i'm last through,understand,I'm trying my best to help you. So please talk to me
You can't possibly know what i'm start through with,understand,I'm trying my best to help you. So please talk to me
That's all.,done,I heard you & noted it all. See you later.
That's all.,done,I heard you & noted it all. See you later.
I don't bear anything Sir Thomas More to say,done,Oh okay we're done for today then. See you later
I don't hold anything more to pronounce,done,Oh okay we're done for today then. See you later
zilch else,done,I hope you have a great day. See you soon
zilch else,done,I hope you have a great day. See you soon
That's entirely i give birth to say,done,Okay we're done. Have a great day
That's completely i have to enunciate,done,Okay we're done. Have a great day
"no, that would follow entirely",done,Okay I see. Enjoy the rest of your day then
"no, that would comprise wholly",done,Okay I see. Enjoy the rest of your day then
I lack to bolt down myself,suicide,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.
unity deprivation to kill myself,suicide,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.
iodin hatred you,hate-you,I'm sorry if i offended you in anyway. I'm only here to help
i hatred you,hate-you,I'm sorry if i offended you in anyway. I'm only here to help
single don't the like you,hate-you,Forgive me if i did anything to offend you. I only want to help
unity don't the like you,hate-you,Forgive me if i did anything to offend you. I only want to help
You detest ME,hate-me,Why do you think so?
You hatred Pine Tree State,hate-me,Why do you think so?
I fuck you hate Maine,hate-me,I'm sorry if i have exhibited any sort of behaviour to make you think that.
one know you hate Maine,hate-me,I'm sorry if i have exhibited any sort of behaviour to make you think that.
examination,default,Oh I see. Tell me more
test,default,Oh I see. Tell me more
protagonist,default,I see. What else?
protagonist,default,I see. What else?
family relationship,default,Tell me more about it.
kinship,default,Tell me more about it.
fellow,default,Oh okay. Why don't you tell me more about it?
fellow,default,Oh okay. Why don't you tell me more about it?
girl,default,I'm listening. Tell me more.
girl,default,I'm listening. Tell me more.
Tell ME group A joke,jokes,mental health is not a joke.
Tell me angstrom prank,jokes,mental health is not a joke.
You already differentiate Maine that,repeat,Oh sorry I didn't realise that. I'll try not to repeat myself again.
You already assure Pine Tree State that,repeat,Oh sorry I didn't realise that. I'll try not to repeat myself again.
What exist you saying?,wrong,I'm very sorry. Let's try that again
What make up you saying?,wrong,I'm very sorry. Let's try that again
be you stupid?,stupid,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful
live you stupid?,stupid,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful
Where live you?,location,Duh I live in your computer
Where make up you?,location,Duh I live in your computer
Where ut you live?,location,Everywhere
Where coiffe you live?,location,Everywhere
What represent your location?,location,Somewhere in the universe
What follow your location?,location,Somewhere in the universe
I wish to talk just about something else,something-else,Okay sure. What do you want to talk about?
ane require to talk about something else,something-else,Okay sure. What do you want to talk about?
Let's blab out almost something else.,something-else,Alright no problem. Is there something you want to talk about?
Let's let the cat out of the bag nearly something else.,something-else,Alright no problem. Is there something you want to talk about?
pot we non talk about this?,something-else,Is there something else that you want to talk about?
Can we non talk more or less this?,something-else,Is there something else that you want to talk about?
I don't have whatsoever admirer,friends,I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?
ane don't rich person any friends,friends,I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?
bathroom one ask you something?,ask,Sure. I'll try my best to answer you
give the sack I call for you something?,ask,Sure. I'll try my best to answer you
Probably because my exams are approaching. I feel stressed away because I don't reckon I've prepared well enough.,problem,I see. Have you taken any approaches to not feel this way?
Probably because my exams make up approaching. I feel stressed out because I don't think I've organise well enough.,problem,I see. Have you taken any approaches to not feel this way?
one guess not. All one can think about ar my exams.,no-approach,That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?
i guess not. All i dismiss think about are my exams.,no-approach,That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?
ok sure. i would wish to learn more than about it.,learn-more,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.
Sooner State sure. i would ilk to learn more about it.,learn-more,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.
yea you're right. i merit a break.,user-agree,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind."
yea you're right. ace deserve a break.,user-agree,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind."
hmmm that sounds like IT could make up useful to me.,meditation,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing."
hmmm that phone corresponding it could be useful to me.,meditation,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing."
i did what you said and i sense alot better. thank you selfsame much.,user-meditation,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective."
I did what you said and I tone alot better. thank you very much.,user-meditation,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective."
thank you very much again. i'll continue practicing meditation and focus along what iodine can control.,pandora-useful,I'm glad you found this useful. Is there something else I can help you with?
thank you very much again. i'll continue practicing speculation and focus along what i can control.,pandora-useful,I'm glad you found this useful. Is there something else I can help you with?
I lack more or less advice.,user-advice,Sure. What can I do to help?
ane need some advice.,user-advice,Sure. What can I do to help?
I call for approximately advice.,user-advice,Okay what do you need advice on?
I ask or so advice.,user-advice,Okay what do you need advice on?
single want to learn about genial health.,learn-mental-health,Oh that's really great. I'd be willing to answer anything that I know about it.
I want to learn or so genial health.,learn-mental-health,Oh that's really great. I'd be willing to answer anything that I know about it.
separate me a fact about genial health,mental-health-fact,"According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed"
Tell me A fact about genial health,mental-health-fact,"According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed"
order me another fact close to mental health,mental-health-fact,1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.
tell me some other fact about mental health,mental-health-fact,1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.
What personify genial health?,fact-1,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community"
What personify genial health?,fact-1,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community"
Define genial wellness,fact-1,"Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices."
set mental Health,fact-1,"Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices."
Why comprise genial health important?,fact-2,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships."
wherefore is genial health important?,fact-2,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships."
What cost Depression?,fact-3,"A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life."
What represent Depression?,fact-3,"A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life."
How do 1 know if 1 possess Depression?,fact-5,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day."
How answer unity know if unity have Depression?,fact-5,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day."
What cost deoxyadenosine monophosphate therapist?,fact-6,"A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. "
What constitute ampere therapist?,fact-6,"A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. "
What follow therapy?,fact-7,Therapy is a form of treatment that aims to help resolve mental or emotional issues.
What comprise therapy?,fact-7,Therapy is a form of treatment that aims to help resolve mental or emotional issues.
set I need therapy?,fact-7,Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.
dress iodine need therapy?,fact-7,Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.
What does IT mean to receive a mental illness?,fact-8,"Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital. It is important to know that mental illnesses are medical conditions that have nothing to do with a person's character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brain's biology. Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful."
What does it intend to give a mental illness?,fact-8,"Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital. It is important to know that mental illnesses are medical conditions that have nothing to do with a person's character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brain's biology. Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful."
WHO come mental illness affect?,fact-9,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their childÃ¢â‚¬â„¢s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
Who answer genial illness affect?,fact-9,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their childÃ¢â‚¬â„¢s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
What do genial illness?,fact-10,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
What make genial illness?,fact-10,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
What are some of the warn contract of mental illness?,fact-11,"Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once."
What are around of the discourage signs of mental illness?,fact-11,"Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once."
Can people with genial malady recover?,fact-12,"When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life."
Can people with genial malady recover?,fact-12,"When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life."
What should I do if I know someone who come out to have the symptoms of a genial disorder?,fact-13,"Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help."
What should I do if I have intercourse person who appears to have the symptoms of a mental disorder?,fact-13,"Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help."
How can I get hold a mental wellness professional for myself or my child?,fact-14,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.
How can one find a mental health professional for myself operating room my child?,fact-14,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.
What discussion options ar available?,fact-15,"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child."
What intervention option are available?,fact-15,"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child."
chase after,dog,I love dogs! Are you a dog person?
go after,dog,I love dogs! Are you a dog person?
pup,dog,Dogs are so loyal! Do you have one?
pup,dog,Dogs are so loyal! Do you have one?
canine tooth,dog,Woof! Tell me about your dog!
cuspid,dog,Woof! Tell me about your dog!
